ds,yhat,yhat_lower,yhat_upper
2015-12-01,37.91332089861004,36.74224472936812,39.095966498469465
2015-12-02,38.10358280213653,36.86258304336771,39.27581188440517
2015-12-03,38.257957806722615,37.10691850769309,39.45518758505674
2015-12-04,38.46942822721517,37.17398259195515,39.69208475506673
2015-12-07,38.59140568364768,37.43868994630209,39.86612091522244
2015-12-08,38.60330009297173,37.39870673485597,39.81450849550318
2015-12-09,38.79356199649855,37.426829880901984,39.945946076135776
2015-12-10,38.94793700108432,37.735109850232504,40.18858719823547
2015-12-11,39.15940742157747,37.870501146568046,40.40759703707675
2015-12-14,39.28138487800914,37.98753185544556,40.50548626121745
2015-12-15,39.2932792873336,38.000575696704175,40.472284505063
2015-12-16,39.483541190860294,38.19475920415077,40.68991129918015
2015-12-17,39.63791619544603,38.36283169731741,40.887803550148604
2015-12-18,39.849386615938634,38.64905043533303,41.09559265904208
2015-12-21,39.97136407237059,38.631535098809216,41.27473468015102
2015-12-22,39.98325848169537,38.706426365700565,41.24050434578247
2015-12-23,40.173520385221885,38.89472023286613,41.47918093764014
2015-12-24,40.32789538980799,38.860689803905096,41.63870773403308
2015-12-28,40.66134326673203,39.28325060790353,42.09611023684163
2015-12-29,40.67323767605705,39.345128082721665,42.107359588957536
2015-12-30,40.863499579583625,39.44994874152197,42.24351797028112
2015-12-31,41.0178745841697,39.6285627163265,42.41468469813195
2016-01-04,39.59048223852097,38.255429120808664,41.053877776864795
2016-01-05,39.596144603617034,38.25677847123614,40.94539959077832
2016-01-06,39.74490665590041,38.372750224324555,41.08011405999561
2016-01-07,39.81490178828327,38.56111246192221,41.227525859925066
2016-01-08,40.06955754282688,38.757236484748795,41.456596278046376
2016-01-11,40.12917511661349,38.81947303575418,41.44997551785014
2016-01-12,40.13483748170986,38.863216419189406,41.50777375218034
2016-01-13,40.283599533993296,38.92877172091195,41.737126147131434
2016-01-14,40.35359466637577,38.845870563789816,41.715422180486776
2016-01-15,40.608250420919,39.22039167823018,42.10706586530884
2016-01-19,40.67353035980232,39.22982829030802,41.977659508960656
